text,language
 श्रवणबेळगोळच्यानंतर दिवे आगार ताम्रपटाच़ा शोध लागला,Marathi
स,Marathi
 பதின்மூன்றாம் நூற்றாண்டுவாக்கில் சோழர்களின் ஆதிக்கம் குறைந்தது,Tamil
 दक्षिण सोलापूर येथील मराठी शिलालेख,Marathi
" यह सिन्धु शब्द ईरानी में जाकर ‘हिन्दू’, हिन्दी और फिर ‘हिन्द’ हो गया",Hindi
 अक्षी हे गाव महाराष्ट्रातील रायगड जिल्ह्यातील अलिबागपासून दक्षिण दिशेस ५ कि,Marathi
" फ़िजी, मॉरिशस, गयाना, सूरीनाम, नेपाल और संयुक्त अरब अमीरात में भी हिन्दी या इसकी मान्य बोलियों का उपयोग करने वाले लोगों की बड़ी संख्या मौजूद है",Hindi
 परन्तु इसका शुद्ध उच्चारण जिह्वा को मूर्धा (मुँह की छत. जहाँ से ट का उच्चार करते हैं) पर लगा कर न की तरह का अनुनासिक स्वर निकालकर होता है,Hindi
" नामवंत खासगी प्रकाशन संस्था आणि सरकारी प्रकाशने यांची वार्षिक उलाढाल, तसेच पाठ्यपुस्तके धार्मिक, ललित आणि वैचारिक ग्रंथ यांची एकत्रित बाजारपेठ सुमारे २५० कोटी रुपयांपर्यंत आहे",Marathi
" भारताच्या सर्वाधिक खपाच़े मासिक लोकराज्य हे संदर्भ हवा, आणि देशातले सर्वाधिक खपाचे च़ौथ्या क्रमांकाच़े वर्तमानपत्र लोकमत हे आहे संदर्भ हवा",Marathi
" त्याचबरोबर जगभरात विखुरलेल्या मराठी-भाषकांमुळे मराठी अमेरिकेची संयुक्त संस्थाने, संयुक्त अरब अमिरात, दक्षिण आफ्रिका, पाकिस्तान, सिंगापूर, जर्मनी, युनायटेड किंगडम, ऑस्ट्रेलिया व न्यूझीलंड येथेही बोलली जाते",Marathi
 त्याची स्थिती बऱ्यापैकी असून तेथील सभामंडपातील तुळईवर अडीच़ ओळींच़ा लेख कोरलेला आहे,Marathi
 அதற்குச் சான்றாகக் கீழ்வரும் இலக்கியக் குறிப்புகளைக் காட்டலாம்,Tamil
 याखेरीज विष्णू वामन शिरवाडकर उर्फ कुसुमाग्रज यांचा जन्मदिवस २७ फेब्रुवारी हा मराठी भाषा गौरव दिन म्हणून साजरा केला जातो,Marathi
" கடலை ஒட்டியிருந்த சேரர்களின் ஆட்சிப்பகுதி, ரோமானியர்களுடனான வாணிபத்திற்கு ஏதுவாக இருந்தது",Tamil
" २०११ च्या जनगणनेनुसार, भारतात मराठी भाषकांची एकूण लोकसंख्या सुमारे ९ कोटी आहे",Marathi
 आजाद हिन्द फौज का राष्ट्रगान शुभ सुख चैन भी हिन्दुस्तानी में था,Hindi
 ஒன்பதாம் நூற்றாண்டில் சோழர்கள் மீண்டும் ஆட்சிக்கு வந்தனர்,Tamil
 इनमें से कुछ में अत्यन्त उच्च श्रेणी के साहित्य की रचना भी हुई है,Hindi
 हिन्दी शब्द का सम्बन्ध संस्कृत शब्द 'सिन्धु' से माना जाता है,Hindi
 इ,Marathi
 वाछि तो विजेया होईवा ।। कुडल शब्द कन्नड असून त्याचा अर्थ संगम आहे,Marathi
" தமிழ்நாடு இந்திய மாநிலங்களில் பரப்பளவில் ஆவதாகவும், மக்கள்தொகையில் ஆறாவதாகவும் விளங்குகிறது",Tamil
" நான்காம் நூற்றாண்டின் பிற்பகுதியில், சிறந்த கோவில்களை அமைத்த பல்லவர்கள் முன்னணிக்கு வந்தனர்",Tamil
 सभी राज्यों में हिन्दी भाषा का प्रयोग अधिकांश प्रवासी हिन्दी भाषियों द्वारा आपस में किया जाता है,Hindi
स,Marathi
 चन्द्रधर शर्मा 'गुलेरी' ने इसी अवहट्ठ को 'पुरानी हिन्दी' नाम दिया,Hindi
 पूर्वोत्तर भारत में अनेक जनजातियाँ निवास करती हैं जिनकी अपनी-अपनी भाषाएँ तथा बोलियाँ हैं,Hindi
 இலங்கை நாட்டுடன் கடல்வழி எல்லையைக் கொண்டுள்ளது,Tamil
பி,Tamil
 இந்திய மொத்த உள்நாட்டு உற்பத்திக்குப் பங்களிப்பதில் இரண்டாவதாகவும் உள்ளது,Tamil
 या शिलालेखाचा उल्लेख इ,Marathi
 दादरा व नगर हवेली या केंद्रशासित प्रदेशात मराठी एक अधिकृत राजभाषा आहे,Marathi
 हिन्‍दी भाषा का इतिहास लगभग एक सहस्र वर्ष पुराना माना गया है,Hindi
 கி,Tamil
 600) பௌத்தம் தமிழகத்தில் மிகவும் செல்வாக்கோடு இருந்தது என்பது குறிப்பிடத்தக்கது,Tamil
 १९६०[११] मध्ये मराठी भाषिकांच्या एकसंध महाराष्ट्र राज्यास मान्यता मिळाली आणि मराठीस राजभाषेचा मुकुट प्राप्त झाला,Marathi
" 14ஆம் நூற்றாண்டில், சோழர்களின் வீழ்ச்சிக்குப் பிறகு, பாண்டியர்கள் மீண்டும் எழுச்சி பெற்றனர்",Tamil
 बाद में ईरानी धीरे-धीरे भारत के अधिक भागों से परिचित होते गए और इस शब्द के अर्थ में विस्तार होता गया तथा हिन्द शब्द पूरे भारत का वाचक हो गया,Hindi
 उन्होने यह भी कहा था कि राष्ट्रभाषा के बिना राष्ट्र गूँगा है,Hindi
 இவற்றைக் காலத்துக்குக் காலம் பல அரச வம்சங்கள் ஆண்டுவந்தன,Tamil
 १८८३ च्या कुलाबा गॅझेटियरमध्ये आहे,Marathi
 இது தமிழகம் என்றும் பரவலாக அழைக்கப்படுகிறது,Tamil
" அத்துடன், தற்போதைய பீகார் மற்றும் வங்காளப் பகுதிகளை ஆண்டு வந்த மகிபாலனையும் வீழ்த்தினான்",Tamil
" தஞ்சை மற்றும் மதுரையைச் சேர்ந்த நாயக்கர்கள் புகழ் பெற்று விளங்கியதோடு, பழங்கால கோயில்களைப் புதுப்பிக்கவும் செய்தனர்",Tamil
 ஆறாம் நூற்றாண்டில் பல்லவர்கள் சோழரைத் தோற்கடித்தனர்,Tamil
 न्यूजीलैंड में हिन्दी चौथी सर्वाधिक बोली जाने वाली भाषा है,Hindi
 இங்கே வாழுகின்ற தமிழ் இன மக்களின் தோற்றம் தொடர்பாகப் பல்வேறு கருத்துக்கள் நிலவுகின்றன,Tamil
 हिन्दी में दो वचन होते हैं — एकवचन और बहुवचन,Hindi
 १९४७ नंतर स्वतंत्र भारत देशाने मराठीला अधिकृत राज्यभाषेचा दर्जा दिला,Marathi
 हिन्‍दी भाषा व साहित्‍य के जानकार अपभ्रंश की अन्तिम अवस्‍था 'अवहट्ठ से हिन्‍दी का उद्भव स्‍वीकार करते हैं,Hindi
 प्राकृत-व्याकरणों ने संस्कृत के ढाँचे पर व्याकरण लिखे और संस्कृत को ही प्राकृत आदि की प्रकृति माना,Hindi
 पैठण (प्रतिष्ठान) येथील सातवाहन साम्राज्याने महाराष्ट्री भाषेचा प्रशासनात वापर सर्वप्रथम केला,Marathi
 संस्कृत में ष का उच्चारण ऐसे होता था : जीभ की नोक को मूर्धा (मुँह की छत) की ओर उठाकर श जैसी आवाज करना,Hindi
 नपुंसक वस्तुओं का लिंग भाषा परम्परानुसार पुल्लिंग या स्त्रीलिंग होता है,Hindi
 क्रिया वचन-से भी प्रभावित होती है,Hindi
 एथनोलॉग के अनुसार हिन्दी विश्व की तीसरी सबसे अधिक बोली जाने वाली भाषा है,Hindi
" புதுச்சேரி ஒன்றியப் பகுதியின், புதுச்சேரி மற்றும் காரைக்கால் பகுதிகளைச் சுற்றிலும் தமிழ்நாடு மாநிலம் எல்லைகளைக் கொண்டுள்ளது",Tamil
" भारत के बाहर, हिन्दी बोलने वाले संयुक्त राज्य अमेरिका में 8,63,077; मॉरीशस में 6,85,170; दक्षिण अफ़्रीका में 8,90,292; यमन में 2,32,760; युगांडा में 1,47,000; सिंगापुर में 5000; नेपाल में 8 लाख; जर्मनी में 30,000 हैं",Hindi
 அம்பியைத் தலைநகராகக் கொண்டிருந்த விசயநகரப் பேரரசு செல்வச் செழிப்போடும் அமைதியுடனும் திகழ்ந்தது,Tamil
" उनका अभियान गीत कदम कदम बढ़ाए जा भी इसी भाषा में था, परन्तु सुभाष चन्द्र बोस हिन्दुस्तानी भाषा के संस्कृतकरण के पक्षधर नहीं थे, अतः शुभ सुख चैन को जनगणमन के ही धुन पर, बिना कठिन संस्कृत शब्दावली के बनाया गया था",Hindi
" இந்தியாவின் மக்கள் தொகையைக் கொண்டிருந்தும், மிகக் கூடுதலான வணிக நிறுவனங்கள் கொண்ட மாநிலமாகவும், மொத்த வேலை வாய்ப்புகள் கொண்ட மாநிலங்களுள் இரண்டாவதாகவும் விளங்குகிறது",Tamil
இராசராச சோழன் கிழக்கிலிருந்த சாளுக்கிய அரசர்கள் மற்றும் சேர மன்னர்களை வீழ்த்தினான்,Tamil
 இவன் கி,Tamil
 १२७८ मध्ये म्हाइंभट यांनी लीळाचरित्र लिहिले,Marathi
 आधुनिक हिन्दी में ष का उच्चारण पूरी तरह श की तरह होता है,Hindi
" இவற்றுள் முதன்மையாகக் குறிப்பிடத்தக்கவர்கள்,வேளிர்கள் பாண்டியர், சேரர், சோழர், பல்லவர், சாளுக்கியர், விஜய நகரத்தார், நாயக்கர் என்போராவர்",Tamil
"देशी,भाखा, देशना वचन, हिन्दवी,दक्खिनी, रेखता, आर्यभाषा (दयानन्द सरस्वती),हिन्दुस्तानी, खड़ी बोली, भारती आदि हिन्दी के अन्य नाम हैं जो विभिन्न ऐतिहासिक कालखण्डों में एवं विभिन्न सन्दर्भों में प्रयुक्त हुए हैं",Hindi
[29] अपने सीमित रूप –प्रशासनिक भाषा के रूप – में हिन्दी व्यवहार में भिन्न भाषाभाषियों के बीच परस्पर सम्प्रेषण का माध्यम बनी हुई है,Hindi
 तेथे शके ९४० असे कोरले आहे,Marathi
,Marathi
 उर्दू और हिन्दी खड़ीबोली की दो आधिकारिक शैलियाँ हैं,Hindi
பி,Tamil
 त्यानंतर कुडलचा शिलालेखाच़ा शोध लागला,Marathi
 हिन्दी भाषा के लिए इस शब्द का प्राचीनतम प्रयोग शरफ़ुद्दीन यज्दी’ के ‘जफ़रनामा’(1424) में मिलता है,Hindi
 या बाबतीत मराठी भाषेचा जगात दुसरा क्रमांक लागतो[ संदर्भ हवा,Marathi
 किन्तु हिन्दी के मुख्य दो भेद हैं - पश्चिमी हिन्दी तथा पूर्वी हिन्दी,Hindi
" இவர்களுடைய பேரரசு, மைய இந்தியா, ஒரிசா, மற்றும் வங்காளத்தின் சில பகுதிகள் வரை கூடப் பரவியிருந்தது",Tamil
 महानुभाव संप्रदायाने मराठी साहित्यात मौलिक भर घातली,Marathi
 उस समय उन्होंने अपने सार्वजनिक उद्बोधन में पहली बार आह्वान किया था कि हिन्दी को ही भारत की राष्ट्रभाषा का दर्जा मिलना चाहिये,Hindi
 त्यानंतर मराठी भाषेस राजाश्रय मिळाला,Marathi
 हिन्दी भारत की राष्ट्रभाषा नहीं है क्योंकि भारत के संविधान में किसी भी भाषा को ऐसा दर्जा नहीं दिया गया है,Hindi
 हिन्दी को देवनागरी लिपि में लिखा जाता है,Hindi
" சங்ககால மூவேந்தர்களாகிய சேர, சோழ, பாண்டியர் கி",Tamil
"இன்றைய தமிழ்நாட்டையும் உள்ளடக்கிப் பரந்திருந்த பண்டைய தமிழர் நாடு, பல்வேறு நாடுகளாகப் பிரிந்திருந்தது",Tamil
 १३५० असा आहे,Marathi
 जगी सुख नांदो,Marathi
 त्यात काळाच़ा स्पष्ट उल्लेख आहे,Marathi
" हिन्दी की बोलियाँ और उन बोलियों की उपबोलियाँ हैं जो न केवल अपने में एक बड़ी परम्परा, इतिहास, सभ्यता को समेटे हुए हैं वरन स्वतन्त्रता संग्राम, जनसंघर्ष, वर्तमान के बाजारवाद के विरुद्ध भी उसका रचना संसार सचेत है",Hindi
,Hindi
" இராசேந்திர சோழன் மேலும் முன்னேறி அந்தமான் நிக்கோபார் தீவுகள், இலட்சத்தீவுகள், சுமத்ரா, சாவா, மலேயா மற்றும் பெகு தீவுகளையும் தன் கப்பற்படையைக் கொண்டு கைப்பற்றினான்",Tamil
" ஆனால், 1565 ஆம் ஆண்டு வாக்கில் நடந்த தலைக்கோட்டப் போரில், தக்காணப் பீடபூமியைச் சேர்ந்த சுல்தான்களால் விசயநகர ஆட்சியாளர்கள் தோற்கடிக்கப்பட்டு, அவர்கள் ஆட்சிக்கடங்கிய பகுதிகள் யாவும், நாயக்கர்களிடையே பிரித்தளிக்கப்பட்டன",Tamil
" மேலும், இம்மாநிலம் பல கோயில்களையும், சிற்பங்களையும் பெற்ற கலை அம்சம் கொண்ட பகுதியாக விளங்குகிறது",Tamil
 सरकारी संस्था बालभारती दरवर्षी सुमारे ९ कोटी पुस्तके छापते,Marathi
தொன்றுதொட்டே தமிழ் மக்கள் வாழ்ந்த நிலப்பரப்பு தமிழகம் என்ற பெயரால் அழைக்கப்பட்டது,Tamil
"हिन्दी को राष्ट्रभाषा कहने के एक हिमायती महात्मा गांधी भी थे, जिन्होंने 29 मार्च 1918 को इन्दौर में आठवें हिन्दी साहित्य सम्मेलन की अध्यक्षता की थी",Hindi
 गाथा सप्तशती हा मराठीतील २२२० वर्ष जुना पहिला ग्रंथ,Marathi
 பல்லவர் கட்டிடக்கலை பல்லவர் காலத்திலேயே வளர்ச்சியடைந்து உருப்பெற்றது,Tamil
 वारकरी संप्रदायास सुरुवात झाली,Marathi
 भारत की जनगणना २०११ में 57.1% भारतीय जनसंख्या हिन्दी जानती है जिसमें से 43.63% भारतीय लोगों ने हिन्दी को अपनी मूल भाषा या मातृभाषा घोषित किया था,Hindi
"மேலே குறிப்பிடப்பட்ட மதுரை, தற்கால மதுரைக்குத் தெற்கே அமைந்திருந்து, பிற்காலத்தில் ஏற்பட்ட கடல்கோளினால் முற்றாக அழிந்து போனதாகப் பழந்தமிழ் இலக்கியங்கள் வாயிலாக அறியக்கிடைக்கின்றது",Tamil
" अतः जो शब्द उनके नियमों की पकड़ में न आ सके, उनको देशी संज्ञा दी गयी",Hindi
" இக்களப்பிர அரசர்கள், கி",Tamil
 கி,Tamil
 जगी सुख नांदो,Marathi
" इनमें बोड़ो, कछारी, जयन्तिया, कोच, त्रिपुरी, गारो, राभा, देउरी, दिमासा, रियांग, लालुंग, नागा, मिजो, त्रिपुरी, जामातिया, खासी, कार्बी, मिसिंग, निशी, आदी, आपातानी, इत्यादि प्रमुख हैं",Hindi
 பின்னர் மதராசு ஸ்டேட் என்று இருந்த பெயர் 1969 ஆம் ஆண்டு தமிழ்நாடு என்று மாற்றப்பட்டது,Tamil
 त्याच़ा काही भाग संस्कृत काही भाग मराठी आहे,Marathi
 इंग्रजी काल गणनेनुसार या लेखाची तारीख १६ मे सन १०१२ अशी आहे,Marathi
 उन्होने तो यहाँ तक कहा था कि हिन्दी भाषा का प्रश्न स्वराज्य का प्रश्न है,Hindi
 वे हिन्दी की जड़ों को गहरा बनाती हैं,Hindi
 फरवरी 2019 में अबू धाबी में हिन्दी को न्यायालय की तीसरी भाषा के रूप में मान्यता मिली,Hindi
 ओम पश्चिम समुद्राधीपती श्री कोकण चक्रीवर्ती श्री केसिदेवराय यांचा महाप्रधान भइर्जु सेणुई याने शक संवत ९३४ परिधावी संवत्सर अधिक मासात शुक्रवारी वद्यपक्षात देवीचा बोढणासाठी नऊ कुंवली धान्य दान केले,Marathi
 साधारणतः इ,Marathi
" தமிழ்நாடு, ஏறத்தாழ 6000 ஆண்டுகளுக்கு மேல் பழமையான வரலாற்றைக் கொண்டுள்ளது",Tamil
" புவியியல் எல்லைகளாக வடக்கே கிழக்குத் தொடர்ச்சி மலைத்தொடரும், மேற்கே மேற்குத் தொடர்ச்சி மலைத்தொடரின் நீலமலை வீச்செல்லை, ஆனை மலை வீச்செல்லை, பாலக்காடு கணவாய் ஆகியவையும் கிழக்கில் வங்காள விரிகுடாக் கடலும், தென்கிழக்கில் மன்னார் வளைகுடா, பாக்கு நீரிணை ஆகியவையும் தெற்கில் இந்தியப் பெருங்கடலும் உள்ளன",Tamil
 मराठी मातृभाषा असणाऱ्या लोकांच्या संख्येनुसार मराठी ही जगातील दहावी व भारतातील तिसरी भाषा आहे,Marathi
 இவர்கள் தென்னிந்தியாவில் 400 ஆண்டுகள் ஆதிக்கம் செலுத்தினர்,Tamil
" सम्पूर्ण भारतवर्ष में बोली और समझी जाने वाली (बॉलीवुड के कारण) देशभाषा हिन्दी है, यह राजभाषा भी है तथा सारे देश को जोड़ने वाली सम्पर्क भाषा भी",Hindi
 ऐसी बोलियों में ब्रजभाषा और अवधी प्रमुख हैं,Hindi
मराठी भाषा ही इंडो-युरोपीय भाषाकुळातील एक भाषा आहे,Marathi
" தமிழ்நாடு பண்டைக் காலத்தில் சேர, சோழ, பாண்டிய, பல்லவ மன்னர்களால் ஆளப்பெற்றது",Tamil
 देशभरातील एकूण ग्रंथालयांतली २५ टक्के ग्रंथालये एकट्या महाराष्ट्रात आहेत[ संदर्भ हवा,Marathi
 लेख देवनागरी लिपीत असून भाषा संस्कृत व मराठी मिश्र आहे,Marathi
" अफ़गानिस्तान के बाद सिन्धु नदी के इस पार हिन्दुस्तान के पूरे इलाके को प्राचीन फ़ारसी साहित्य में भी हिन्द, हिन्दुश के नामों से पुकारा गया है तथा यहाँ की किसी भी वस्तु, भाषा, विचार को विशेषण के रूप में हिन्दीक कहा गया है जिसका मतलब है हिन्द का या हिन्द से",Hindi
 विशेषण विशेष्य-के पहले लगता है,Hindi
 विश्व आर्थिक मंच की गणना के अनुसार यह विश्व की दस शक्तिशाली भाषाओं में से एक है,Hindi
 मराठी भाषेचा गौरव ज्ञानेश्वरांनी त्यांच्या साहित्यातून ही केलेला दिसून येतो,Marathi
" ஆங்கிலேயப் படையெடுப்பு நிகழும் வரை, சேரர்களின் ஆளுகைக்கு உட்பட்டு இருந்த சிறிய நிலப்பகுதி, பெரும்பாலும் வேறெவருடைய படையெடுப்பிற்கும் ஆளாகாமல் இருந்தது",Tamil
 देवनागरी में 11 स्वर और 33 व्यंजन हैं,Hindi
 500க்கும் முன்பிருந்தே இப்பகுதியில் தமிழர்கள் வாழ்ந்து வந்துள்ளனர்,Tamil
 கி,Tamil
" 1000 ई॰ के आसपास इसकी स्वतन्त्र सत्ता का परिचय मिलने लगा था, जब अपभ्रंश भाषाएँ साहित्यिक सन्दर्भों में प्रयोग में आ रही थीं",Hindi
பி,Tamil
 'सिन्धु' सिन्धु नदी को कहते थे और उसी आधार पर उसके आस-पास की भूमि को सिन्धु कहने लगे,Hindi
" कभी-कभी 'हिन्दी' शब्द का प्रयोग नौ भारतीय राज्यों के सन्दर्भ में भी उपयोग किया जाता है, जिनकी आधिकारिक भाषा हिन्दी है और हिन्दी भाषी बहुमत है, अर्थात् बिहार, छत्तीसगढ़, हरियाणा, हिमाचल प्रदेश, झारखण्ड, मध्य प्रदेश, राजस्थान, उत्तराखण्ड, जम्मू और कश्मीर (२०२० से) उत्तर प्रदेश और राष्ट्रीय राजधानी क्षेत्र दिल्ली का",Hindi
 भीमा व सीना या दोन नद्यांचा संगमावर वसलेल्या या गावात चालुक्‍यकालीन संगमेश्‍वर मंदिर आहे,Marathi
स,Marathi
 இசுலாமியப் படையெடுப்புக்கு பதிலடி தரும் வண்ணம் பல்வேறு சிற்றரசுகள் சேர்ந்து விசயநகர பேரரசைத் தோற்றுவித்தன,Tamil
"हिन्दी जिसके मानकीकृत रूप को मानक हिंदी कहा जाता है, विश्व की एक प्रमुख भाषा है एवं भारत की एक राजभाषा है",Hindi
 इ,Marathi
 हालाँकि व्याकरणिक रूप से उर्दू और हिन्दी में कोई अन्तर नहीं है परन्तु कुछ विशेष क्षेत्रों में शब्दावली के स्रोत (जैसा कि ऊपर लिखा गया है) में अन्तर है,Hindi
" அதற்காக, சங்கரலிங்கனார் என்பவர் நாட்கள் உண்ணாவிரதம் இருந்து உயிர் துறந்தார்",Tamil
 தமிழ்நாடு இந்தியத் துணைக்கண்டத்தின் தென்முனையில் அமைந்துள்ளது,Tamil
 हिन्दी का स्वरूप शौरसेनी और अर्धमागधी अपभ्रंशों से विकसित हुआ है,Hindi
 मराठी ही महाराष्ट्र राज्याची एकमेव अधिकृत राजभाषा आहे,Marathi
 महाराष्ट्राबाहेरील एकूण १५ विद्यापीठांमध्ये मराठी शिकविली जाते,Marathi
" भारत आने के बाद अरबी-फ़ारसी बोलने वालों ने ज़बान-ए-हिन्दी, हिन्दी ज़बान अथवा हिन्दी का प्रयोग दिल्ली-आगरा के चारों ओर बोली जाने वाली भाषा के अर्थ में किया",Hindi
 300 – கி,Tamil
" வரலாற்று உண்மைகள் எவ்வாறு இருப்பினும், தற்காலத் தமிழ் மக்களுடைய அடையாளம், மேற்கண்ட கொள்கைகளின் அடிப்படையிலேயே வளர்த்தெடுக்கப்பட்டுள்ளது எனலாம்",Tamil
கி,Tamil
பி,Tamil
" இவர்களுள் சேரர்களில் செங்குட்டுவன் மன்னனும், சோழர்களில் கரிகால் சோழன் மன்னனும், பாண்டியர்களில் நெடுஞ்செழியன் மன்னனும் பெயர் பெற்ற ஆட்சியாளர்களாகத் திகழ்ந்து, மிகவும் புகழ்பெற்று விளங்கினர்",Tamil
"मराठी भाषा भारतासह, फिजी, मॉरिशस व इस्रायल या देशांतही बोलली जाते",Marathi
 हिन्दी भारत की राजभाषा है,Hindi
 १ मे हा दिवस मराठी भाषा दिन किंवा मराठी राजभाषा दिन म्हणून साजरा केला जातो,Marathi
" नामदेवशिंपी, गोरा कुंभार,नरहरी सोनार, सावता माळी, चोखा मेळा, बंका महार, सेना न्हावी, कान्होपात्रा यांनी भक्तिपर काव्यरचना केल्या व मराठी साहित्याच़े दालन वैविध्यानी समृद्ध केले",Marathi
 मराठी ही भाषा देवनागरी लिपी वापरून लिहिली जाते,Marathi
 अंतरावर अलिबाग- मुरुड जंजिरा रस्त्यावर आहे,Marathi
 शुक्ल यजुर्वेद की माध्यन्दिनि शाखा कुछ वाक़्यात में ष का उच्चारण ख की तरह करना मान्य था,Hindi
 इसे बाईं से दाईं ओर लिखा जाता है,Hindi
 छत्रपती शिवाजी महाराजांनी मराठी साम्राज्याची मुहूर्तमेढ रोवली आणि पेशव्यांनी या साम्राज्याचा विस्तार केला,Marathi
" சேரர்கள், தற்கால கேரள மற்றும் கொங்கு மாவட்டங்களிலும், சோழர்கள் தஞ்சாவூர், திருச்சிராப்பள்ளி ஆகிய மாவட்டங்களை உள்ளடக்கிய பகுதிகளிலும், பாண்டியர்கள் மதுரை, நெல்லை மற்றும் தென் கேரள மாவட்டங்களிலும் செல்வாக்கு செலுத்தினர்",Tamil
 यही भाषाएँ बाद में विकसित होकर आधुनिक भारतीय आर्य भाषाओं के रूप में अभिहित हुईं,Hindi
" பாண்டிய நாடு, கல்வியிலும், வணிகத்திலும் சிறந்து விளங்கியது",Tamil
 आजतागायत मराठी भाषेतून अनेक श्रेष्ठ साहित्यकृती निर्माण झालेल्या आहेत आणि त्यात सातत्यपूर्ण रीतीने भर पडत आहे,Marathi
 केन्द्रीय स्तर पर भारत में सह-आधिकारिक भाषा अंग्रेजी है,Hindi
 हिन्दी देवनागरी लिपि में लिखी जाती है और शब्दावली के स्तर पर अधिकांशतः संस्कृत के शब्दों का प्रयोग करती है,Hindi
" இவர்கள் கூட்டணியால் தமிழகம், வடதிசை மவுரிய குப்தப் பேரரசுகளின் ஆளுகையினை எதிர்த்து, தனியரசுகளாக விளங்கின",Tamil
" मराठी भाषेत आजवर विविध विषयांवर विस्तृत लेखन प्रकाशीत झाले असून , त्यातील कैक प्रकाशने जागतिक साहित्यात मानाचे स्थान मिळवू शकतील अशी आहेत",Marathi
